experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:dataset.subset,dead_mean,dead_std,axis:model.K,axis:model.leaf_components,axis:model.vtree,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,axis:eval.alpha,diag_q_hat_mean,diag_q_hat_std,diag_raw_cal_coverage_mean,diag_raw_cal_coverage_std,diag_n_cal_mean,diag_n_cal_std,diag_frac_clipped_lo_mean,diag_frac_clipped_lo_std,diag_frac_clipped_hi_mean,diag_frac_clipped_hi_std,diag_frac_full_range_mean,diag_frac_full_range_std,diag_pit_mean_mean,diag_pit_mean_std,diag_pit_sd_mean,diag_pit_sd_std,diag_lo_level_mean,diag_lo_level_std,diag_hi_level_mean,diag_hi_level_std,alpha_mean,alpha_std,picp_edge_mean,picp_edge_std,mpiw_edge_mean,mpiw_edge_std,interval_score_edge_mean,interval_score_edge_std,pit_mean_mean,pit_mean_std,pit_var_mean,pit_var_std,pit_ks_mean,pit_ks_std,pit_var_target_mean,pit_var_target_std,loc_auroc_mean,loc_auroc_std,prec_at_k_mean,prec_at_k_std,n_windows_mean,n_windows_std,loc_auroc[spike]_mean,loc_auroc[spike]_std,loc_auroc[offset]_mean,loc_auroc[offset]_std,loc_auroc[drift]_mean,loc_auroc[drift]_std,loc_auroc[decouple]_mean,loc_auroc[decouple]_std,loc_auroc[desync]_mean,loc_auroc[desync]_std,deletion_auc_mean,deletion_auc_std,max_residual_nats_mean,max_residual_nats_std,mean_residual_nats_mean,mean_residual_nats_std,axis:eval.shap_samples,censored_frac_mean,censored_frac_std,axis:dataset.censor_frac,train_rows_mean,train_rows_std,n_dead_mean,n_dead_std,crps_full_mean,crps_full_std,crps_exact_marginal_mean,crps_exact_marginal_std,crps_imputed_mean,crps_imputed_std,rmse_full_mean,rmse_full_std,rmse_exact_marginal_mean,rmse_exact_marginal_std,rmse_imputed_mean,rmse_imputed_std,picp_exact_marginal_mean,picp_exact_marginal_std,picp_exact_marginal_edge_mean,picp_exact_marginal_edge_std,picp_imputed_mean,picp_imputed_std,picp_imputed_edge_mean,picp_imputed_edge_std,marginal_pit_mean_mean,marginal_pit_mean_std,marginal_pit_var_mean,marginal_pit_var_std,marginal_pit_ks_mean,marginal_pit_ks_std,marginal_pit_var_target_mean,marginal_pit_var_target_std,d_mean,d_std,K_mean,K_std,dag_build_s_mean,dag_build_s_std,dag_leaves_mean,dag_leaves_std,dag_nodes_mean,dag_nodes_std,dag_params_mean,dag_params_std,dag_fwd_s_mean,dag_fwd_s_std,dag_logp_mean,dag_logp_std,tree_leaves_predicted_mean,tree_leaves_predicted_std,tree_build_s_mean,tree_build_s_std,tree_leaves_mean,tree_leaves_std,tree_nodes_mean,tree_nodes_std,tree_params_mean,tree_params_std,tree_fwd_s_mean,tree_fwd_s_std
cmapss_ad,subset-FD003,cmapss:FD003,ad,"RegionGraphPC [chain, K=8]",0.7272425981932785,0.019269593020492713,0.38551061492813615,0.029706494261278863,0.5110569356414564,0.013161447781010424,0.5589358178746071,0.02604465278777938,0.8939471166333556,0.010201892652155063,0.88174899287448,0.013250660520043573,0.9873255578309927,0.001380111700492989,0.6976813566015151,0.03300291903081362,9.755838791529337,0.09157956874820371,15680.0,0.0,230.44500223795572,2.6165173048937262,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,z-score (per channel),0.7670893310895606,0.009694366428927884,0.3248848901028085,0.016862692962318605,0.515391586815212,0.012317621961081604,0.553925942407071,0.011513027003876932,0.8900493434359621,0.002771614654372066,0.8652091475916608,0.00725487918296473,0.9523272046979233,0.0006454935903614072,0.9349113586182775,0.005925735673023797,0.05238493283589681,0.0022282389219670934,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,moving-average residual,0.7442875760162124,0.009482104668981483,0.44360670148637266,0.02201848605806573,0.5525437060487844,0.007840852340106994,0.5389952282277992,0.021750919173505846,0.8131522045280999,0.013227485656640631,0.7494850351857801,0.004731362529803929,0.9609545345888052,0.0005433323023655044,0.9853966319173452,0.0008093050498181179,0.31621607144673664,0.0007079460363560683,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,diagonal Gaussian,0.7129796326795326,0.01705889849181347,0.2932527766123225,0.01820211685687856,0.510624667501333,0.013136956882700416,0.5559629775169639,0.023095837639253724,0.8627451480554512,0.013079850821852116,0.8559447129427742,0.007978337974620803,0.996307783361698,3.801018924508006e-05,0.6797096057282849,0.02695702240445372,0.12882359822591147,0.0027278692785268526,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,PCA reconstruction,0.760504150045224,0.01018936788466566,0.3005526681700445,0.01591605006292671,0.5203446753191368,0.013611710859723243,0.634251279685555,0.015536507855121577,0.9154690927005537,0.003912369218248298,0.9108414252403568,0.0056401078471501635,0.909406318812325,0.0020609536536319016,0.7598460648688233,0.009804816154369594,0.28748083114624023,0.1641164925289609,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,1-NN distance,0.8309693179806535,0.00865639326647129,0.48098606924304854,0.02165687116746448,0.5341799292410846,0.015459220329006144,0.7342787325928751,0.022913452327257573,0.9660285522312059,0.003226580187380895,0.9592253305749535,0.0014244957569195787,0.9668244561501096,0.0008075423215772151,0.8978797649969028,0.005813326851355335,0.23394672075907388,0.01420976614457468,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,Mahalanobis,0.8530580272192854,0.003939457916882817,0.6567857834573639,0.01331727144840072,0.5425776876769297,0.02868839867994543,0.7729939316827679,0.012571746073077266,0.9925636873989648,0.002316695918363921,0.9893235986773763,0.0024195792777201765,0.8773951639806407,0.0011542943562833732,0.9359979673166997,0.004247938098385469,0.6405477523803711,0.10095492382874253,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,Isolation Forest,0.6940305763500301,0.017160591485480707,0.28546083043203657,0.016920329152868882,0.515235511242175,0.015003139598660543,0.5893332383037193,0.0221665021989206,0.8627463979549569,0.01787462293198365,0.8500070242008076,0.011335268562744982,0.9975187863334211,0.0007876156800107283,0.5475879926361958,0.03491316519322168,0.25539374351501465,0.004193667648235073,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,GMM (8 comp.),0.8291358278805724,0.0092849679096643,0.524394625717013,0.014630191636518118,0.5341291981503243,0.01013904502626483,0.7748987321167982,0.020240279426420742,0.9618200230142806,0.005970091544346004,0.9501002046945856,0.005214249954982498,0.8961878714957164,0.019412199707028288,0.8817507600862106,0.008711614280432645,7.196391185124715,3.048431871982418,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,conv autoencoder,0.8489659205197729,0.0007231305964432305,0.6961702439863453,0.009189574917851918,0.5354319247030114,0.008052907335152659,0.7723136428099351,0.004028317205041918,0.9952113564336486,0.0019269448255859825,0.9876497733475625,0.006385319175393786,0.9716119882339869,0.010370212423329299,0.8939400924033848,0.013422485199010873,1.0165313084920247,0.08004059447097146,,,,,3,"[0, 1, 2]",FD003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
